City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saudarkrokur,65.7461,-19.6394,5.14,89,98,3.94,IS,1684016017
83,tazovsky,67.4667,78.7,-7.39,89,99,9.66,RU,1684015903
84,yellowknife,62.456,-114.3525,23.09,31,100,4.47,CA,1684015709
85,prince rupert,54.3161,-130.3201,13.05,94,100,1.54,CA,1684016092
86,betong,5.7743,101.0723,22.71,97,75,0.78,TH,1684016159
87,constantia,44.1833,28.65,10.39,68,41,1.48,RO,1684015862
88,cabedelo,-6.9811,-34.8339,28.37,78,37,6.4,BR,1684016054
89,papatowai,-46.5619,169.4708,9.23,89,78,0.25,NZ,1684015847
90,contai,21.7786,87.7536,26.77,68,100,3.68,IN,1684016160
91,vilyuchinsk,52.9306,158.4028,7.15,74,33,3.62,RU,1684015940
92,luganville,-15.5333,167.1667,26.93,82,98,6.48,VU,1684016070
93,tutoia,-2.7619,-42.2744,26.35,84,20,3.18,BR,1684016160
94,smara,26.7384,-11.6719,18.21,59,80,6.62,EH,1684016161
95,college,64.8569,-147.8028,19.49,35,75,6.17,US,1684015876
96,barra de santo antonio,-9.4047,-35.5072,24.6,73,66,5.04,BR,1684016040
97,port alfred,-33.5906,26.891,15.66,97,100,0.45,ZA,1684016116
98,negara,-8.3151,114.6025,23.49,82,79,3.82,ID,1684016162
99,meadow lakes,61.6247,-149.6011,15.93,39,75,4.12,US,1684016162
100,estevan,49.1334,-102.9842,13.11,82,100,3.6,CA,1684016163
101,colonia,50.9333,6.95,14.42,84,0,2.57,DE,1684015892
102,nuuk,64.1835,-51.7216,-0.66,74,100,2.57,GL,1684015921
103,ushuaia,-54.8,-68.3,5.81,75,40,3.6,AR,1684015835
104,ilulissat,69.2167,-51.1,-0.99,86,100,4.12,GL,1684015829
105,nova sintra,14.8667,-24.7167,20.01,82,62,7.89,CV,1684015870
106,juneau,58.3019,-134.4197,13.01,76,100,5.14,US,1684016165
107,gizo,-8.103,156.8419,28.21,79,99,2.15,SB,1684016165
108,hilo,19.7297,-155.09,29.04,73,40,4.12,US,1684015834
109,shetpe,44.1667,52.1167,15.95,44,100,7.04,KZ,1684016166
110,sezanne,48.7205,3.7234,10.29,90,19,3.43,FR,1684016166
111,horta,38.5333,-28.6333,16.68,84,100,2.68,PT,1684016051
112,east ballina,-28.8667,153.5833,14.89,99,76,2.49,AU,1684016167
113,dunedin,-45.8742,170.5036,11.0,80,100,0.45,NZ,1684016168
114,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,5.66,EC,1684015873
115,prado,-17.3411,-39.2208,22.9,86,17,3.03,BR,1684015920
116,anna regina,7.2644,-58.5077,26.56,83,17,4.41,GY,1684016169
117,saint-philippe,-21.3585,55.7679,22.77,86,5,5.04,RE,1684015855
118,bethel,41.3712,-73.414,26.2,22,0,4.12,US,1684015816
119,callao,-12.0667,-77.15,25.95,73,20,4.63,PE,1684016170
120,port lincoln,-34.7333,135.8667,14.92,50,100,3.05,AU,1684015817
121,pisco,-13.7,-76.2167,22.03,78,100,3.09,PE,1684016069
122,atafu village,-8.5421,-172.5159,28.24,79,19,5.3,TK,1684015868
123,loei,17.4167,101.5,19.65,96,92,1.0,TH,1684016171
124,puerto san jose,13.9256,-90.8244,31.3,60,7,4.36,GT,1684016085
125,al jawf,29.5,38.75,21.04,33,1,4.88,SA,1684016172
126,richards bay,-28.783,32.0377,20.38,78,86,3.26,ZA,1684016049
127,bejaia,36.7559,5.0843,14.6,88,40,2.06,DZ,1684016173
128,lata,40.1629,-8.3327,15.04,91,0,0.25,PT,1684016040
129,okha,53.5739,142.9478,5.95,78,86,2.8,RU,1684016173
130,hermanus,-34.4187,19.2345,13.22,75,41,6.94,ZA,1684015723
131,katsuura,35.1333,140.3,17.6,65,100,7.14,JP,1684016174
132,jijiga,9.35,42.8,19.49,72,20,2.47,ET,1684016175
133,svetlyy,54.675,20.1347,13.03,84,68,1.36,RU,1684016088
134,hithadhoo,-0.6,73.0833,28.39,77,80,7.17,MV,1684015839
135,totness,5.8833,-56.3167,26.13,88,88,5.05,SR,1684016176
136,shahrud,36.4182,54.9763,21.14,31,47,1.26,IR,1684016176
137,tolanaro,-25.0319,46.9987,21.4,89,41,1.27,MG,1684015815
138,saipan,15.1355,145.701,28.69,100,40,3.6,MP,1684015848
139,coxen hole,16.3244,-86.5366,30.2,70,20,12.86,HN,1684016177
140,opuwo,-18.0607,13.84,18.5,45,15,1.87,NA,1684016072
141,gadzhiyevo,69.2551,33.3362,5.17,92,94,5.6,RU,1684015892
142,strelka,58.0728,93.0344,-4.02,69,1,1.5,RU,1684016179
143,aripuana,-9.1667,-60.6333,26.41,75,86,0.58,BR,1684016094
144,chillan,-36.6066,-72.1034,18.18,68,0,3.6,CL,1684015955
145,cartagena,10.3997,-75.5144,30.79,70,40,6.17,CO,1684016144
146,anadyr,64.75,177.4833,0.28,93,40,8.0,RU,1684015840
147,mugango,-1.6833,33.7,21.76,81,91,0.84,TZ,1684016181
148,tenno,39.9,139.9667,14.56,80,100,3.12,JP,1684016181
149,haiku-pauwela,20.9219,-156.3051,27.32,63,40,6.17,US,1684015997
150,wailua homesteads,22.0669,-159.378,27.24,71,0,7.2,US,1684015837
151,kukawa,12.9234,13.5606,32.29,21,91,1.96,NG,1684016183
152,island harbour,50.724,-1.2758,12.74,88,1,0.89,GB,1684016048
153,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1684015844
154,capayan,-28.761,-66.0502,20.82,56,0,1.33,AR,1684016185
155,miguel ahumada,30.6167,-106.5167,29.64,17,13,9.9,MX,1684016186
156,tubarjal,30.4999,38.216,20.35,43,0,6.74,SA,1684015818
157,magnolia,33.2671,-93.2393,30.83,69,82,1.13,US,1684016186
158,pecos,31.4229,-103.4932,26.05,34,40,4.12,US,1684016187
159,kolondieba,11.0882,-6.8926,29.8,52,77,4.19,ML,1684016187
160,lihue,21.9789,-159.3672,27.58,69,0,7.2,US,1684015837
161,ixtapa,20.7,-105.2,29.57,65,40,6.69,MX,1684016188
162,bilibino,68.0546,166.4372,-9.31,56,3,1.02,RU,1684015809
163,puerto aysen,-45.4,-72.7,12.15,99,100,1.86,CL,1684016189
164,wanlaweyn,2.6185,44.8938,25.79,88,95,4.9,SO,1684016189
165,cerro de ortega,18.75,-103.7667,30.8,45,5,3.9,MX,1684016190
